symbol;name;sector;industry;weight;
PEG;Public Service Enterprise Group Inc;Utilities;Electric Utilities;0.08346;
MCK;McKesson Corporation;Health Care;Health Care Distributors;0.08348;
AWK;American Water Works Company Inc.;Utilities;Water Utilities;0.084485;
AMP;Ameriprise Financial Inc.;Financials;Asset Management & Custody Banks;0.084518;
AVB;AvalonBay Communities Inc.;Real Estate;Residential REITs;0.085017;
AJG;Arthur J. Gallagher & Co.;Financials;Insurance Brokers;0.085093;
WLTW;Willis Towers Watson Public Limited Company;Financials;Insurance Brokers;0.085096;
EFX;Equifax Inc.;Industrials;Research & Consulting Services;0.085433;
CTVA;Corteva Inc;Materials;Fertilizers & Agricultural Chemicals;0.086563;
MTD;Mettler-Toledo International Inc.;Health Care;Life Sciences Tools & Services;0.087096;
LUV;Southwest Airlines Co.;Industrials;Airlines;0.08743;
STT;State Street Corporation;Financials;Asset Management & Custody Banks;0.087997;
VRSK;Verisk Analytics Inc;Industrials;Research & Consulting Services;0.088546;
AFL;Aflac Incorporated;Financials;Life & Health Insurance;0.089435;
KMI;Kinder Morgan Inc Class P;Energy;Oil & Gas Storage & Transportation;0.089472;
WMB;Williams Companies Inc.;Energy;Oil & Gas Storage & Transportation;0.089917;
MNST;Monster Beverage Corporation;Consumer Staples;Soft Drinks;0.09048;
CBRE;CBRE Group Inc. Class A;Real Estate;Real Estate Services;0.090974;
CMI;Cummins Inc.;Industrials;Industrial Machinery;0.091414;
IFF;International Flavors & Fragrances Inc.;Materials;Specialty Chemicals;0.091539;
TDG;TransDigm Group Incorporated;Industrials;Aerospace & Defense;0.091645;
WBA;Walgreens Boots Alliance Inc;Consumer Staples;Drug Retail;0.091716;
PSX;Phillips 66;Energy;Oil & Gas Refining & Marketing;0.091896;
HPQ;HP Inc.;Information Technology;Technology Hardware, Storage & Peripherals;0.092227;
XEL;Xcel Energy Inc.;Utilities;Multi-Utilities;0.092465;
CTAS;Cintas Corporation;Industrials;Diversified Support Services;0.093025;
WELL;Welltower Inc.;Real Estate;Health Care REITs;0.093226;
ROK;Rockwell Automation Inc.;Industrials;Electrical Components & Equipment;0.093907;
PPG;PPG Industries Inc.;Materials;Specialty Chemicals;0.093921;
ADM;Archer-Daniels-Midland Company;Consumer Staples;Agricultural Products;0.094512;
AZO;AutoZone Inc.;Consumer Discretionary;Specialty Stores;0.09649;
FRC;First Republic Bank;Financials;Regional Banks;0.096508;
OTIS;Otis Worldwide Corporation;Industrials;Industrial Machinery;0.096512;
STZ;Constellation Brands Inc. Class A;Consumer Staples;Distillers & Vintners;0.097248;
SBAC;SBA Communications Corp. Class A;Real Estate;Specialized REITs;0.098316;
YUM;Yum! Brands Inc.;Consumer Discretionary;Restaurants;0.099124;
CNC;Centene Corporation;Health Care;Managed Health Care;0.099192;
DD;DuPont de Nemours Inc.;Materials;Specialty Chemicals;0.100708;
GIS;General Mills Inc.;Consumer Staples;Packaged Foods & Meats;0.101206;
PAYX;Paychex Inc.;Information Technology;Data Processing & Outsourced Services;0.101502;
RMD;ResMed Inc.;Health Care;Health Care Equipment;0.101848;
XLNX;Xilinx Inc.;Information Technology;Semiconductors;0.101956;
PH;Parker-Hannifin Corporation;Industrials;Industrial Machinery;0.102206;
ALL;Allstate Corporation;Financials;Property & Casualty Insurance;0.102769;
