symbol,name,sector,weight
O,Realty Income Corporation,Real Estate,0.069983
ODFL,Old Dominion Freight Line Inc.,Industrials,0.073961
OGN,Organon & Co.,Health Care,0.022485
OKE,ONEOK Inc.,Energy,0.072807
OMC,Omnicom Group Inc,Communication Services,0.043945
ORCL,Oracle Corporation,Information Technology,0.408863
ORLY,O'Reilly Automotive Inc.,Consumer Discretionary,0.113668
OTIS,Otis Worldwide Corporation,Industrials,0.096512
OXY,Occidental Petroleum Corporation,Energy,0.07886
PAYC,Paycom Software Inc.,Information Technology,0.065204
PAYX,Paychex Inc.,Information Technology,0.101502
PBCT,People's United Financial Inc.,Financials,0.020864
PCAR,PACCAR Inc,Industrials,0.077051
PEAK,Healthpeak Properties Inc.,Real Estate,0.049049
PEG,Public Service Enterprise Group Inc,Utilities,0.08346
PENN,Penn National Gaming Inc.,Consumer Discretionary,0.029452
PEP,PepsiCo Inc.,Consumer Staples,0.566513
PFE,Pfizer Inc.,Health Care,0.643703
PFG,Principal Financial Group Inc.,Financials,0.045131
PG,Procter & Gamble Company,Consumer Staples,0.917543
PGR,Progressive Corporation,Financials,0.144871
PH,Parker-Hannifin Corporation,Industrials,0.102206
PHM,PulteGroup Inc.,Consumer Discretionary,0.032761
PKG,Packaging Corporation of America,Materials,0.036738
PKI,PerkinElmer Inc.,Health Care,0.051718
PLD,Prologis Inc.,Real Estate,0.253559
PM,Philip Morris International Inc.,Consumer Staples,0.407553
PNC,PNC Financial Services Group Inc.,Financials,0.23115
PNR,Pentair plc,Industrials,0.032932
PNW,Pinnacle West Capital Corporation,Utilities,0.022395
POOL,Pool Corporation,Consumer Discretionary,0.047901
PPG,PPG Industries Inc.,Materials,0.093921
PPL,PPL Corporation,Utilities,0.058996
PRU,Prudential Financial Inc.,Financials,0.113498
PSA,Public Storage,Real Estate,0.122098
PSX,Phillips 66,Energy,0.091896
PTC,PTC Inc.,Information Technology,0.034437
PVH,PVH Corp.,Consumer Discretionary,0.021064
PWR,Quanta Services Inc.,Industrials,0.042621
PXD,Pioneer Natural Resources Company,Energy,0.112002
PYPL,PayPal Holdings Inc.,Information Technology,0.829292
